id;book_bar_code;status;date_create;date_update;user_create
1;Handmade Cotton Table CSS;73692;2021-06-01;2021-06-01;cyan programming digital
2;real-time;6904;2021-05-31;2021-05-31;Baht radical solid state
3;mobile intuitive high-level;5907;2021-06-01;2021-06-01;generate
4;Designer calculating;47756;2021-06-01;2021-06-01;Accountability
5;Texas auxiliary;99140;2021-05-31;2021-06-01;Representative software
6;Bedfordshire calculating Toys;14541;2021-05-31;2021-06-01;Games
7;Personal Loan Account bleeding-edge payment;19605;2021-06-01;2021-06-01;ivory Mouse
8;programming Licensed Plastic Bacon Consultant;88163;2021-06-01;2021-06-01;Yen Fish online
9;turn-key Australian Dollar;5839;2021-05-31;2021-06-01;transmitting grow
10;Practical Granite Chicken;99031;2021-06-01;2021-05-31;Ports
