id;book_case_name;date_create;date_update;user_create
1;back up Alaska Direct;2021-05-31;2021-06-01;circuit Gorgeous
2;Toys systems;2021-06-01;2021-05-31;Illinois Lead SAS
3;Lead port;2021-05-31;2021-06-01;1080p
4;haptic payment Dynamic;2021-06-01;2021-06-01;Grocery best-of-breed Lari
5;Practical Cotton Tuna US Dollar Concrete;2021-06-01;2021-06-01;Functionality port
6;Borders;2021-06-01;2021-05-31;withdrawal navigating
7;Investment Account Road Incredible Wooden Computer;2021-06-01;2021-05-31;end-to-end
8;synergize dot-com Denar;2021-06-01;2021-06-01;Direct
9;Gloves streamline;2021-06-01;2021-05-31;PNG Rustic Plastic Shoes
10;Sausages syndicate models;2021-05-31;2021-06-01;tan deploy
