id;book_category_name;date_create;date_update;user_create
1;Incredible;2021-06-01;2021-05-31;Refined
2;Fresh;2021-06-01;2021-05-31;interactive bypass Bedfordshire
3;Rubber;2021-06-01;2021-06-01;Honduras customer loyalty
4;Silver Developer;2021-06-01;2021-06-01;Djibouti convergence
5;Radial;2021-06-01;2021-05-31;Intuitive
6;Vanuatu invoice;2021-05-31;2021-05-31;Associate
7;demand-driven impactful;2021-05-31;2021-05-31;Cheese
8;Generic Steel Tuna;2021-06-01;2021-06-01;Sleek attitude
9;orange markets Table;2021-06-01;2021-06-01;redundant
10;New York Data;2021-06-01;2021-05-31;Producer
