id;book_title_name;author;publication_date;page;price_of_book;prire_of_borrow;image;date_create;date_update;user_create
1;Chief;Romania;2021-05-31;7529;98490;96927;multi-tasking;2021-06-01;2021-05-31;parse
2;Handmade Frozen Bacon Personal Loan Account Directives;THX Sharable primary;2021-06-01;4862;57647;26021;Concrete;2021-05-31;2021-06-01;hard drive Refined
3;Solomon Islands Investment Account;open-source Bangladesh;2021-06-01;51208;74451;1529;New Hampshire navigate;2021-06-01;2021-06-01;synthesizing
4;demand-driven Up-sized capacitor;collaboration;2021-06-01;23250;72160;49737;Baby Practical;2021-06-01;2021-06-01;Exclusive Denmark
5;deposit Intelligent Plastic Chips virtual;Home Loan Account;2021-06-01;28730;12887;43859;Steel Future Cuba;2021-06-01;2021-06-01;Checking Account Soft networks
6;transmit Buckinghamshire Tenge;Product Heights Small Plastic Salad;2021-06-01;78171;77648;87668;application Sharable;2021-06-01;2021-05-31;Response District
7;dynamic wireless maximized;ubiquitous;2021-06-01;35360;64388;31603;Auto Loan Account;2021-05-31;2021-05-31;index copying
8;Chair;Re-contextualized;2021-06-01;48489;32482;39462;deposit Customer leading edge;2021-06-01;2021-06-01;Alabama
9;calculating;TCP;2021-05-31;20071;83299;2789;payment;2021-06-01;2021-06-01;Iceland Borders methodology
10;synthesize plum Iowa;Borders;2021-05-31;38478;27660;44033;Rest e-business;2021-05-31;2021-06-01;View
