id;date_create;date_update;user_create;status
1;2021-06-01;2021-05-31;Generic Frozen Ball Tools;4777
2;2021-05-31;2021-05-31;synthesize;63667
3;2021-06-01;2021-06-01;Tasty Movies;9276
4;2021-06-01;2021-06-01;protocol Ford;53592
5;2021-06-01;2021-05-31;Brooks Oklahoma;58925
6;2021-05-31;2021-06-01;architect Customer-focused;27223
7;2021-06-01;2021-06-01;Heights Poland;82688
8;2021-05-31;2021-06-01;Managed Cotton;90320
9;2021-06-01;2021-05-31;initiative AGP;56262
10;2021-05-31;2021-06-01;Chair function infrastructures;42064
